Organization,Name,PrimarySite,Start,End
http://org.csiro.au/A000159,Australian National Animal Health Laboratory (ANAHL) - CSIRO,http://org.csiro.au/Geelong,1970-01-01,1985-10-31
http://org.csiro.au/A000312,CSIR Division of Aeronautics,http://org.csiro.au/FishermansBend,1940-05-10,1949-02-10
http://org.csiro.au/A000579,CSIRO Division of Forest Products (mark I),http://org.csiro.au/SouthMelbourne,1928-07-05,1971-05-24
http://org.csiro.au/A000584,CSIR Food Preservation and Transport Section,http://org.csiro.au/Victoria,1931-08-01,1940-12-31
http://org.csiro.au/A000589,CSIR Biochemistry Unit,http://org.csiro.au/Parkville,1949-01-01,1958-12-31
http://org.csiro.au/A000647,CSIR National Standards Laboratory,http://org.csiro.au/Australia,1939-01-01,1973-12-31
http://org.csiro.au/A000648,CSIR Electrotechnology Section,http://org.csiro.au/Australia,1939-01-01,1945-12-31
http://org.csiro.au/A000653,Lubricants and Bearings Section,http://org.csiro.au/Australia,1940-01-01,1946-12-31
http://org.csiro.au/A000669,CSIR Division of Economic Botany,http://org.csiro.au/BlackMountain,1927-01-01,1929-12-31
http://org.csiro.au/A000674,CSIR Murray River Soil Investigation Unit,http://org.csiro.au/Australia,1927-01-01,1929-12-31
http://org.csiro.au/A000683,CSIR Physics Section,http://org.csiro.au/Australia,1939-01-01,1945-12-31
http://org.csiro.au/A000684,CSIR Metrology Section,http://org.csiro.au/Australia,1939-01-01,1945-12-31
http://org.csiro.au/A000734,CSIR Division of Animal Health and Nutrition,http://org.csiro.au/Victoria,1936-07-01,1944-08-17
http://org.csiro.au/A000735,CSIR Division of Animal Health,http://org.csiro.au/Melbourne,1930-01-15,1936-06-30
http://org.csiro.au/A000736,CSIR Division of Animal Nutrition,http://org.csiro.au/Victoria,1927-12-01,1936-12-31
http://org.csiro.au/A000739,CSIR Animal Nutrition Laboratory,http://org.csiro.au/Adelaide,1936-01-01,1944-12-31
http://org.csiro.au/A000775,CSIR Biometrics Section,http://org.csiro.au/UniversityofAdelaide,1941-01-01,1944-12-31
http://org.csiro.au/A000791,CSIR Soil Physics Section,http://org.csiro.au/Melbourne,1933-01-01,1943-12-31
http://org.csiro.au/A000796,CSIR Cold Storage Investigations,http://org.csiro.au/Australia,1926-01-01,1931-12-31
http://org.csiro.au/A002112,"Commonwealth Research Station, Murrumbidgee Irrigation Area",http://org.csiro.au/Griffith,1927-01-01,1939-12-31
http://org.csiro.au/A000219,CSIRO Division of Radiophysics,http://org.csiro.au/Epping,1940-01-01,1996-09-20
http://org.csiro.au/A000220,CSIRO Division of Animal Health,http://org.csiro.au/Geelong,1959-11-23,2000-07-01
http://org.csiro.au/A000310,CSIRO Central Experimental Workshops,http://org.csiro.au/Australia,1949-01-01,1955-12-31
http://org.csiro.au/A000311,CSIRO Dairy Research Section,http://org.csiro.au/Australia,1939-06-29,1962-07-02
http://org.csiro.au/A000314,CSIRO Division of Applied Chemistry,http://org.csiro.au/FishermansBend,1966-08-21,1974-02-24
http://org.csiro.au/A000570,CSIRO Division of Building Research [I],http://org.csiro.au/Highett,1950-07-01,1971-05-24
http://org.csiro.au/A000571,CSIRO Division of Chemical and Wood Technology,http://org.csiro.au/Clayton,1983-07-01,1988-12-31
http://org.csiro.au/A000572,CSIRO Division of Chemical Engineering,http://org.csiro.au/Clayton,1962-07-02,1978-12-31
http://org.csiro.au/A000573,CSIRO Division of Electrotechnology,http://org.csiro.au/Australia,1945-01-01,1962-12-31
http://org.csiro.au/A000574,CSIRO Section of Mathematical Instruments,http://org.csiro.au/Australia,1950-01-01,1959-12-31
http://org.csiro.au/A000576,CSIRO Division of Food Preservation and Transport,http://org.csiro.au/Homebush,1940-01-01,1960-06-30
http://org.csiro.au/A000577,CSIRO Division of Food Research,http://org.csiro.au/NorthRyde,1971-01-01,1988-12-31
http://org.csiro.au/A000578,CSIRO Division of Industrial Chemistry,http://org.csiro.au/FishermansBend,1940-07-01,1958-10-08
http://org.csiro.au/A000580,CSIRO Division of Forest Research,http://org.csiro.au/Yarralumla,1975-01-01,1987-12-31
http://org.csiro.au/A000581,CSIRO Division of Fossil Fuels,http://org.csiro.au/NorthRyde,1980-01-01,1987-12-31
http://org.csiro.au/A000582,CSIRO Division of Chemical Technology,http://org.csiro.au/SouthMelbourne,1974-02-01,1987-12-31
http://org.csiro.au/A000583,CSIRO Division of Materials Science and Technology,http://org.csiro.au/Clayton,1987-01-01,1997-12-31
http://org.csiro.au/A000590,CSIRO Division of Applied Organic Chemistry,http://org.csiro.au/FishermansBend,1974-02-24,1988-01-31
http://org.csiro.au/A000591,CSIRO Division of Atmospheric Research,http://org.csiro.au/Aspendale,1988-01-01,2005-06-30
http://org.csiro.au/A000592,CSIRO Division of Chemical Physics,http://org.csiro.au/ClaytonandLucasHeights,1958-10-09,1987-01-01
http://org.csiro.au/A000593,CSIRO Division of Computing Research,http://org.csiro.au/BlackMountain,1967-01-01,1986-12-31
http://org.csiro.au/A000594,CSIRO Marine Research,http://org.csiro.au/Hobart,1997-02-01,2005-07-01
http://org.csiro.au/A000595,CSIRO Division of Tribophysics,http://org.csiro.au/Parkville,1948-01-01,1978-12-31
http://org.csiro.au/A000596,CSIRO Division of Tropical Crops and Pastures,http://org.csiro.au/StLucia,1976-01-01,1995-12-31
http://org.csiro.au/A000597,CSIRO Division of Water and Land Resources,http://org.csiro.au/BlackMountain,1982-01-01,1987-12-31
http://org.csiro.au/A000598,CSIRO Division of Wildlife and Ecology,http://org.csiro.au/Canberra,1987-01-01,2000-12-31
http://org.csiro.au/A000599,CSIRO Division of Wildlife Research,http://org.csiro.au/Canberra,1962-07-02,1982-12-31
http://org.csiro.au/A000600,CSIRO Division of Wildlife and Rangelands Research,http://org.csiro.au/Lyneham,1982-01-01,1987-12-31
http://org.csiro.au/A000601,CSIRO National Measurement Laboratory,http://org.csiro.au/Sydney,1974-07-01,1979-01-01
http://org.csiro.au/A000602,CSIRO Office of Space Science and Applications (COSSA),http://org.csiro.au/Barton,1988-01-01,1996-06-30
http://org.csiro.au/A000603,CSIRO Rangeland Research Centre,http://org.csiro.au/Deniliquin,1986-01-01,1995-12-31
http://org.csiro.au/A000604,CSIRO Computing Services (CSIRONET),http://org.csiro.au/BlackMountain,1963-01-01,1985-12-31
http://org.csiro.au/A000608,CSIRO Wildlife Survey Section,http://org.csiro.au/Canberra,1949-01-01,1962-12-31
http://org.csiro.au/A000611,CSIRO Chemical Physics Section,http://org.csiro.au/FishermansBend,1944-01-01,1958-12-31
http://org.csiro.au/A000612,CSIRO Chemical Research Laboratories,http://org.csiro.au/FishermansBend,1958-10-09,1970-08-30
http://org.csiro.au/A000613,CSIRO Division of Wool Technology,http://org.csiro.au/Belmont,1988-01-01,1999-12-31
http://org.csiro.au/A000614,Institute of Industrial Technology - CSIRO,http://org.csiro.au/Campbell,1978-01-01,1986-12-31
http://org.csiro.au/A000615,CSIRO Division of Protein Chemistry,http://org.csiro.au/Parkville,1958-10-09,1988-01-01
http://org.csiro.au/A000616,CSIRO Division of Textile Industry,http://org.csiro.au/Belmont,1958-01-01,1988-12-31
http://org.csiro.au/A000617,CSIRO Division of Textile Physics,http://org.csiro.au/Ryde,1958-01-01,1988-12-31
http://org.csiro.au/A000618,CSIRO Division of Construction and Engineering,http://org.csiro.au/Highett,1988-07-01,1988-12-31
http://org.csiro.au/A000619,"Institute of Minerals, Energy and Construction (IMEC) - CSIRO",http://org.csiro.au/Campbell,1988-01-01,1996-06-30
http://org.csiro.au/A000620,"CSIRO Division of Building, Construction and Engineering",http://org.csiro.au/Highett,1988-07-01,2002-07-31
http://org.csiro.au/A000621,CSIRO Built Environment Sector,http://org.csiro.au/Australia,1995-01-01,2002-12-31
http://org.csiro.au/A000622,CSIRO Building Material Research Section,http://org.csiro.au/Australia,1945-01-01,1950-12-31
http://org.csiro.au/A000623,Institute of Energy and Earth Resources - CSIRO,http://org.csiro.au/Melbourne,1981-09-01,1987-12-31
http://org.csiro.au/A000624,CSIRO Division of Mineral Chemistry,http://org.csiro.au/PortMelbourne,1959-05-26,1988-12-31
http://org.csiro.au/A000625,CSIRO Division of Mineral Engineering,http://org.csiro.au/Clayton,1978-01-01,1987-12-31
http://org.csiro.au/A000626,CSIRO Division of Mineral and Process Engineering,http://org.csiro.au/Clayton,1987-01-01,1995-12-31
http://org.csiro.au/A000628,CSIRO Division of Food Processing,http://org.csiro.au/NorthRyde,1988-01-01,1992-12-31
http://org.csiro.au/A000629,Institute of Animal Production and Processing - CSIRO,http://org.csiro.au/Glebe,1988-01-01,1996-06-30
